job_title,trending_keywords
Software Engineer,"['JavaScript', 'C++', 'Software Testing', 'Python', 'Problem solving', 'Programming Languages', 'Data structure', 'Software development', 'Attention to detail']"
Full Stack Developer,"['JavaScript', 'Problem solving', 'Programming language', 'Frameworks', 'Soft skills', 'CSS', 'Architecture', 'Git and GitHub', 'SQL']"
Backend Developer,"['Problem solving', 'Frontend technology knowledge', 'Knowledge of servers', 'Database management', 'Data structure', 'Backend frameworks knowledge', 'API knowledge', 'Programming languages', 'Analytic reasoning']"
Frontend Developer,"['JavaScript', 'Problem solving', 'Version control', 'Web performance', 'CSS', 'CSS preprocessors', 'Developing across browsers', 'Testing and debugging', 'Responsive design']"
Web Developer,"['Problem solving', 'Programming language', 'SEO', 'Version control', 'Frameworks', 'CSS', 'Front-end development', 'Testing and debugging', 'Responsive design']"
Mobile App Developer,"['Cross-platform development skills', 'Problem solving skills', 'Communication', 'Cybersecurity', 'Communication and collaboration', 'User experience design', 'Backend development', 'Agile development', 'Programming languages']"
Cloud Engineer,"['Virtualization', 'Linux', 'Communication', 'Programming', 'Networking', 'Containerization', 'DevOps', 'Database skills', 'Cloud platforms']"
Cloud Architect,"['Cloud security', 'Communication', 'Programming Languages', 'Selecting appropriate cloud services', 'Cloud architecture', 'Software development', 'Networking', 'DevOps', 'Operating system']"
Data Scientist,"['Cloud computing', 'Machine learning', 'Communication', 'Deep learning', 'Programming Languages', 'Probability density function', 'Data wrangling', 'Data visualization', 'Big data']"
Machine Learning Engineer,"['Cloud computing', 'Model evaluation', 'Problem solving', 'Machine learning algorithms', 'Communication', 'Deep learning', 'Natural language processing', 'Collaboration', 'Neural network']"
AI Researcher,"['Data science', 'Machine learning', 'Programming Languages', 'Deep learning', 'Communication', 'Machine Learning Engineer', 'Natural language processing', 'Critical thinking', 'Collaboration']"
DevOps Engineer,"['Automation', 'Linux Fundamentals', 'Automation devops skills', 'Configuration management', 'Coding and scripting', 'Continuous integration skills', 'Security', 'Monitoring and logging', 'Security skills']"
Cybersecurity Engineer,"['Adaptability', 'Operating Systems', 'Collaboration', 'Incident response', 'Penetration testing', 'Vulnerability', 'Access management', 'Threat intelligence', 'Network security']"
Database Administrator,"['Disaster recovery', 'Problem solving', 'Performance tuning', 'Communication', 'Database administration', 'Backup and recovery', 'Data modeling', 'Data Security', 'Database security']"
Software Architect,"['Cloud computing', 'Continuous learning', 'Problem solving', 'Designing the architecture', 'Adaptability', 'Communication', 'Best practices for software architecture', 'Technical expertise', 'Leadership']"
Product Manager,"['Research skills', 'Data collection and management', 'Problem solving', 'Adaptability', 'Technical skills', 'Strategic thinking', 'Empathy', 'User experience design', 'Time management']"
UI/UX Designer,"['User research', 'Prototyping', 'Visual design', 'Collaboration and communication', 'Communication', 'Information architecture', 'Empathy', 'Collaboration', 'Time management']"
Data Engineer,"['Cloud computing', 'ETL', 'Machine learning', 'Programming', 'Data warehouse', 'Data visualization', 'NoSQL', 'Data modeling', 'Databases']"
Business Intelligence Analyst,"['Analytical skills', 'Business acumen', 'Statistical analysis', 'Programming', 'Data visualization', 'Critical thinking', 'Data analysis', 'SQL', 'Communication skills']"
Quality Assurance Engineer,"['Test automation', 'Analytical skills', 'Problem solving', 'Communication', 'Critical thinking', 'Systems development life cycle', 'Attention to detail', 'Communication skills', 'Time management']"
Site Reliability Engineer,"['Automation', 'Problem solving', 'Programming language', 'Continuous improvement', 'Operating Systems', 'Ci/cd pipeline development', 'Incident management', 'Monitoring tools', 'Collaboration']"
Blockchain Developer,"['Smart contracts', 'Web development', 'Consensus algorithms', 'Programming Languages', 'Data structure', 'Solidity', 'Programming', 'Blockchain architectures', 'Cryptography']"
Game Developer,"['Problem solving', 'Animation', 'Game engine', 'Programming Languages', 'Storytelling', 'Creativity', 'Teamwork', 'AI', 'Time management']"
React Developer,"['JavaScript', 'GraphQL', 'Git', 'Problem solving', 'JSX', 'HTML and CSS', 'Redux', 'Npm', 'Excellent communication']"
Angular Developer,"['TypeScript', 'Version control', 'HTML and CSS', 'Angular CLI', 'RxJS', 'Npm', 'Testing and debugging', 'Responsive design', 'RESTful APIs']"
iOS Developer,"['Programming language', 'Objective-C', 'Swift', 'Networking', 'Grand Central Dispatch', 'Spatial ability', 'Core Data', 'Memory management', 'Xcode']"
Android Developer,"['Version control', 'User interface design', 'Android SDK', 'Programming Languages', 'Cross-platform application development', 'Ui/ux design test', 'Android Studio', 'Kotlin', 'Android development']"
PHP Developer,"['Problem solving', 'Database', 'Adaptability', 'Communication', 'Version control', 'Laravel, symfony, etc', 'Object-oriented programming', 'APIs', 'Debugging']"
Python Developer,"['Analytical skills', 'Debugging skills', 'Python frameworks', 'Version control', 'SQL', 'Object-oriented programming', 'Data analysis', 'Frontend technologies', 'Object relational Mapper']"
Java Developer,"['Cloud computing', 'JUnit', 'Git', 'Spring Framework', 'Communication', 'Version control', 'Object-oriented programming', 'Software design pattern', 'DevOps tools']"
Ruby on Rails Developer,"['Back end', 'Git', 'Database', 'Maintaining apis', 'Front-end design', 'Version control', 'Ruby language', 'Write & maintain reliable ruby code', 'Web application']"
C++ Developer,"['Problem solving', 'Communication', 'Programming Languages', 'Collaboration and teamwork', 'SQL', 'Testing procedures', 'Programming proficiency', 'Databases', 'Debugging']"
Go Developer,"['Concurrency', 'Web development', 'Information security', 'Collaboration skills', 'Microservices architecture', 'Time management skills', 'Performance optimization', 'Golang proficiency', 'Attention to detail']"
Swift Developer,"['Programming language', 'Design guidelines', 'App Store deployment', 'Networking', 'Software design pattern', 'Grand Central Dispatch', 'Core Data', 'Memory management', 'Xcode']"
Kotlin Developer,"['Continuous integration', 'API integration', 'Communication', 'Version control', 'Java', 'User experience design', 'Android development', 'Kotlin proficiency', 'Agile development']"
JavaScript Developer,"['Git', 'Node.js', 'Problem solving', 'Version control', 'Web performance', 'Learn JavaScript', 'CSS', 'Asynchronous programming', 'Testing and debugging']"
Node.js Developer,"['Node JS frameworks', 'Communication', 'Database management', 'Security', 'Asynchronous programming', 'Source control', 'Frontend', 'Managing errors', 'RESTful APIs']"
Flutter Developer,"['Dart programming language', 'Flutter framework proficiency', 'Problem solving', 'Adapting to different platforms', 'Version control', 'Performance optimization', 'User experience design', 'State management', 'Flutter']"
Full Stack Engineer,"['JavaScript', 'Git', 'Node.js', 'Problem solving', 'Python', 'Communication', 'Backend frameworks', 'CSS', 'Architecture']"
Web Architect,"['Graphic design', 'JavaScript', 'Problem solving', 'SEO', 'Communication', 'Content management system', 'CSS', 'User experience design', 'Time management']"
Software Test Engineer,"['API testing', 'Test automation', 'Testing', 'Adaptability', 'Communication', 'Agile testing', 'Programming proficiency', 'Systems development life cycle', 'Attention to detail']"
Embedded Systems Engineer,"['C++', 'Microcontroller knowledge', 'Programming', 'Creativity', 'Communication protocols', 'Embedded systems design', 'Knowledge of hardware', 'Circuit design', 'Assembly language']"
AI Developer,"['Cloud computing', 'Data science', 'Machine learning', 'Programming Languages', 'Deep learning', 'Neural network architectures', 'Communication', 'Critical thinking', 'AI ethics']"
Natural Language Processing Engineer,"['Problem solving', 'Machine learning', 'Programming Languages', 'Linguistic knowledge', 'Data visualization', 'Programming proficiency', 'Data preprocessing', 'Collaboration', 'Statistics']"
Computer Vision Engineer,"['Mathematics', 'Computer vision theory', 'Deep learning', 'Machine learning', 'Image analysis', 'Software development', 'Digital image processing', 'Object detection', 'Collaboration']"
Robotics Engineer,"['Control system', 'Computer vision', 'Problem solving', 'Mathematics', 'Decision-making', 'Machine learning', 'Programming', 'Human–robot interaction', 'Active learning']"
Deep Learning Engineer,"['Cloud computing', 'Data skills', 'Domain knowledge', 'Problem solving', 'Machine learning', 'Communication', 'Software engineering', 'Natural language processing', 'Neural network']"
Data Science Researcher,"['Cloud computing', 'Python', 'Machine learning', 'Programming Languages', 'Deep learning', 'Mathematical statistics', 'Data visualization', 'Big data', 'Communication skills']"
Data Analyst,"['Domain knowledge', 'Problem solving', 'Microsoft Excel', 'Data cleansing', 'Communication', 'Data visualization', 'Critical thinking', 'SQL', 'Attention to detail']"
Data Visualization Specialist,"['Problem solving', 'Communication', 'Visualization techniques', 'Data presentation skills', 'Data storytelling', 'Proficiency in data tools', 'Data analysis', 'Attention to detail', 'Analytic reasoning']"
Cloud Security Engineer,"['Configuring identity and access management', 'Cloud computing', 'Incident response', 'Cloud security architecture', 'Understanding of cloud providers', 'DevOps', 'Coding', 'Cloud security communication', 'Network security']"
Machine Learning Researcher,"['Problem solving', 'Machine learning algorithms', 'Communication', 'Deep learning', 'Mathematical statistics', 'Programming', 'Cloud skills', 'Collaboration', 'NLP']"
Application Security Engineer,"['Cloud security', 'Communication', 'Incident response', 'Forensic science', 'DevSecOps', 'Threat modeling', 'Systems development life cycle', 'Network security', 'Cryptography']"
BI Developer,"['Problem solving', 'Communication', 'Database management', 'Data warehouse', 'Data visualization', 'Data modeling', 'Data analysis', 'SQL', 'Collaboration']"
E-commerce Developer,"['Web design', 'Web development', 'SEO', 'Customer relationship management', 'Copywriting', 'Mobile optimization', 'User experience design', 'Digital marketing', 'Data analysis']"
IoT Developer,"['Cloud computing', 'Data', 'Machine learning', 'Business intelligence', 'Security', 'Networking', 'Node', 'User experience design', 'Artificial intelligence']"
UX Researcher,"['Curiosity', 'Usability testing', 'Communication', 'Information architecture', 'Active listening', 'Qualitative research', 'Data analysis', 'Collaboration', 'Adaptability and flexibility']"
Game Designer,"['Problem solving', 'Adaptability', 'User interface design', 'Storytelling', 'Creativity', 'Technical', 'Artistic vision', 'Programming skills', 'Time management']"
Game Programmer,"['Problem solving', 'Animation', 'Communication', 'Programming Languages', 'Creativity', 'Game design', 'Teamwork', 'AI', 'Time management']"
Cloud Solutions Architect,"['Building design', 'Change management', 'Communication', 'Programming', 'Software development', 'Networking', 'Compliance knowledge', 'DevOps', 'AWS']"
Mobile UX/UI Designer,"['User research', 'Prototyping', 'Collaborative teamwork', 'Time management', 'Usability testing', 'Communication', 'Information architecture', 'Visual communication design', 'Interaction design']"
Blockchain Engineer,"['Smart contracts', 'Web development', 'Blockchain knowledge', 'Blockchain fundamentals', 'Blockchain Developer', 'Programming Languages', 'Data structure', 'Blockchain architecture', 'Cryptography']"
Software Development Engineer in Test (SDET),"['Automation', 'Software Testing', 'Communication', 'Programming Languages', 'Create test plans', 'Collaboration and teamwork', 'Testing methodologies', 'Creating and developing automated testing frameworks', 'Command in programming languages']"
Security Architect,"['Cloud security', 'Penetration testing', 'Vulnerability', 'Anticipating potential security threats', 'Identity and access management', 'Computer security', 'Linux, windows, and mac operating systems', 'Security architecture', 'Network security']"
Systems Architect,"['Architecture design', 'Collaboration', 'Communication', 'Systems development life cycle', 'Stakeholder management', 'Creativity', 'Data modeling', 'Cloud', 'Leadership']"
Security Analyst,"['Problem solving', 'Operating Systems', 'Incident response', 'Communication', 'Penetration testing', 'Analytic reasoning', 'Teamwork', 'Attention to detail', 'Network security']"
IT Consultant,"['Cloud computing', 'Project management', 'Data science', 'Problem solving', 'Communication', 'Cybersecurity', 'Programming', 'Artificial intelligence', 'Data analysis']"
Technical Lead,"['Project management', 'Problem solving', 'Communication', 'Emotional intelligence', 'Reviewing code', 'Active listening', 'Risk management', 'Leadership', 'Time management']"
Software Engineering Manager,"['Project management', 'Problem solving', 'Adaptability', 'Collaboration', 'Communication', 'Software development', 'Data structures and algorithms', 'SQL', 'Leadership']"
Product Designer,"['User research', 'Visual design', 'Problem solving', 'Communication', 'User interface design', 'Empathy', 'User experience design', 'Collaboration', 'Interaction design']"
Solutions Architect,"['Cloud computing', 'Project management', 'Business analysis', 'Communication', 'Collaboration and teamwork', 'Database management', 'Expert analysis and problem solving', 'Communication skills', 'Analytic reasoning']"
Test Automation Engineer,"['API testing', 'Automation expertise', 'Test script development expertise', 'Communication', 'Communication and collaboration skills', 'Agile and devops practice', 'Clearly understand business requirements', 'Programming proficiency', 'Analytic reasoning']"
IT Support Specialist,"['Cloud computing', 'Adaptability', 'Problem solving', 'Troubleshooting', 'Analytic reasoning', 'Customer service orientation', 'Teamwork and collaboration', 'Communication skills', 'Technical proficiency']"
Network Engineer,"['Cloud computing', 'Virtualization', 'Troubleshoot', 'Problem solving', 'Analytic reasoning', 'Network automation', 'Firewall', 'Collaboration', 'Network security']"
Cloud Infrastructure Engineer,"['Virtualization', 'Linux', 'Programming', 'Networking', 'Containerization', 'DevOps', 'Cloud platform proficiency', 'Database skills', 'Cloud Architect']"
Site Reliability Engineer,"['Automation', 'Problem solving', 'Operating Systems', 'Ci/cd pipeline development', 'Communication', 'Know version control', 'Networking', 'Monitoring tools', 'Collaboration']"
Senior Software Engineer,"['Analytical skills', 'Adaptability', 'Problem solving', 'Leadership and mentoring', 'Communication', 'Communication and collaboration', 'Coding', 'Teamwork', 'Leadership']"
Senior Data Scientist,"['Machine learning', 'Programming Languages', 'Good understanding of ml system design', 'Data visualization', 'Big data', 'Critical thinking', 'Data analysis', 'Collaboration', 'Statistics']"
Senior Machine Learning Engineer,"['Feature engineering', 'Problem solving', 'Machine learning algorithms', 'Deep learning', 'Communication', 'Performing statistical analysis', 'Natural language processing', 'Data analysis', 'Collaboration']"
Principal Software Engineer,"['Building design', 'Adaptability', 'Problem solving', 'Collaboration', 'Communication skills', 'Coding', 'Leadership and mentorship', 'Systems development life cycle', 'Leadership']"
Principal Data Scientist,"['Cloud computing', 'Python', 'Machine learning', 'Data wrangling', 'Data visualization', 'Big data', 'Artificial intelligence', 'Communication skills', 'Statistics']"
Digital Marketing Engineer,"['Analytics', 'Search engine optimization', 'Marketing communications', 'Communication', 'Copywriting', 'Content marketing', 'Social media marketing', 'Email marketing', 'Data analysis']"
API Developer,"['Tool proficiency', 'Cross-platform development', 'Communication', 'Programming Languages', 'Collaboration and teamwork', 'Version control', 'Front-end development', 'Orchestration', 'Testing and debugging']"
Software Engineer in Test,"['Software Testing', 'Communication', 'Programming Languages', 'Data structure', 'Version control systems', 'Programming', 'Software development', 'SQL', 'Attention to detail']"
Continuous Integration Engineer,"['Infrastructure as Code', 'Collaboration and communication', 'Scripting and automation', 'Time management and prioritization', 'Communication', 'Continuous integration skills', 'Version control systems', 'Critical thinking', 'Monitoring and logging']"
Cloud Infrastructure Architect,"['Cloud computing', 'Cloud security', 'Communication', 'Programming Languages', 'Data storage', 'Networking', 'DevOps', 'Operating system', 'Leadership']"
Embedded Software Engineer,"['C++', 'Problem solving', 'Programming Languages', 'Communication protocols', 'Microcontrollers', 'RTOS implementation', 'Operating system', 'Debugging', 'Circuit design']"
Firmware Engineer,"['Debugging', 'Problem solving', 'C', 'Programming', 'Software development', 'Embedded Systems', 'Hardware', 'Microcontroller', 'Firmware development']"
User Interface Engineer,"['Prototyping', 'Problem solving', 'Adaptability', 'Communication', 'Information architecture', 'Empathy', 'Attention to detail', 'Collaboration', 'Time management']"
UI Developer,"['Problem solving', 'Responsive design', 'Communication', 'Version control', 'Wireframing', 'Frameworks', 'Testing and debugging', 'Attention to detail', 'Collaboration']"
React Native Developer,"['JavaScript', 'Git', 'Debugging skills', 'HTML', 'Communication', 'Redux', 'Excellent knowledge of javascript', 'React Native framework', 'Problem-solving approach']"
Ruby on Rails Engineer,"['Back end', 'Git', 'Mathematical optimization', 'HTML5', 'Maintaining apis', 'Communication', 'Version control', 'Web application development', 'Front-end design']"
Business Analyst,"['Adaptability', 'Negotiation', 'Problem solving skills', 'Data visualization', 'Business process modeling', 'Critical thinking', 'Data analysis', 'SQL', 'Agile methodologies']"
Agile Coach,"['Scaling agile', 'Continuous learning', 'Project management', 'Change management', 'Agile coaching with an open mindset', 'Deep understanding of agile', 'Mentoring', 'Conflict resolution', 'Facilitating']"
Scrum Master,"['Leadership', 'Project management', 'Adaptability', 'Continuous improvement', 'Coaching', 'Problem solving', 'Mentoring', 'Conflict resolution', 'Communication skills']"
Data Warehouse Engineer,"['Cloud computing', 'ETL', 'Machine learning', 'BI', 'Data visualization', 'Data modeling techniques', 'Data analysis', 'SQL', 'Collaboration']"
Artificial Intelligence Engineer,"['Cloud computing', 'Problem solving', 'Machine learning', 'Programming Languages', 'Deep learning', 'Natural language processing', 'Critical thinking', 'Data analysis', 'Collaboration']"
Data Architect,"['Hadoop', 'ETL processes', 'Problem solving', 'Data governance', 'Communication', 'Machine learning', 'Programming Languages', 'Data integration', 'Big data']"
Solutions Engineer,"['Problem-solving skills', 'Project management', 'Adaptability', 'Problem solving', 'Interpersonal communication', 'AWS', 'Customer satisfaction', 'Collaboration', 'Technical proficiency']"
Test Engineer,"['Analytical skills', 'Communication', 'Programming Languages', 'Automation testing', 'Automation proficiency', 'Agile testing', 'Continuous learning and improvement', 'Systems development life cycle', 'Attention to detail']"
Scrum Developer,"['Advanced scrum tools proficiency', 'Agile Scrum', 'Adaptability', 'Coaching', 'Continuous improvement', 'Organizational skills', 'Communication', 'Conflict resolution', 'Leadership']"
Blockchain Architect,"['Smart contracts', 'Web development', 'Programming Languages', 'Data structure', 'Blockchain frameworks', 'Blockchain development tools', 'Cryptography skills', 'Blockchain architecture', 'Cryptography']"
Machine Learning Architect,"['Problem solving', 'Machine learning algorithms', 'Communication', 'Programming Languages', 'Deep learning', 'Natural language processing', 'Critical thinking', 'Cloud skills', 'Time management']"
Big Data Engineer,"['Hadoop', 'Problem solving', 'Machine learning', 'Database management', 'Data warehouse', 'ETL tools', 'Data visualization', 'Data pipelines', 'Cloud']"
Cloud Platform Engineer,"['Linux', 'Cloud security', 'Critical thinking skills', 'Communication', 'Programming', 'Networking', 'Containerization', 'DevOps', 'Database skills']"
Automation Engineer,"['Problem solving', 'Test automation tools and technologies', 'Analytic reasoning', 'Functional testing skills', 'Programming', 'Scripting', 'Programming proficiency', 'Collaboration', 'Clearly understand business requirements']"
System Administrator,"['Cloud computing', 'Problem solving', 'Troubleshooting', 'Automation and scripting', 'Cybersecurity', 'Technical', 'Networking', 'SQL', 'Communication skills']"
Integration Developer,"['Cybersecurity Awareness', 'Continuous learning', 'Algorithm skills', 'Collaboration and teamwork', 'Creativity', 'Analysis', 'Databases', 'Critical thinking', 'Adaptability and flexibility']"
Product Owner,"['Analytical skills', 'Project management', 'Agile Scrum', 'Decision-making', 'Technical skills', 'Communication', 'Product backlog', 'Collaboration', 'Prioritization']"
Linux Systems Engineer,"['Troubleshoot', 'User account management', 'A proactive approach to problem solving', 'Configuration management', 'Automation and scripting', 'Security', 'Scripting', 'Networking', 'Communication skills']"
Network Administrator,"['Problem solving', 'Technical skills', 'Communication', 'CCNA', 'PQRST', 'Interpersonal communication', 'Critical thinking', 'Attention to detail', 'Network security']"
Infrastructure Engineer,"['Virtualization', 'Problem solving', 'Azure', 'Troubleshooting', 'Database', 'Linux', 'Communication', 'Networking', 'Hardware']"
Business Systems Analyst,"['Project management', 'Problem solving', 'Communication', 'Interpersonal communication', 'Critical thinking', 'Data analysis', 'Collaboration', 'Analytic reasoning', 'Adaptability and flexibility']"
SaaS Developer,"['Cloud computing', 'JavaScript', 'Tech skills', 'Problem solving', 'Python', 'Programming Languages', 'Soft skills', 'Communication and collaboration', 'SQL']"
App Developer,"['Cross-platform capabilities', 'Problem solving skills', 'Programming Languages', 'Communication', 'Data management', 'Communication and collaboration', 'User experience design', 'Backend development', 'Agile development']"
Mobile Software Engineer,"['User interface design', 'Programming Languages', 'Cybersecurity', 'Data management', 'Communication and collaboration', 'User experience design', 'Backend development', 'Agile development', 'Cross-platform software']"
Business Development Engineer,"['Project management', 'Marketing strategy', 'Negotiation skills', 'Business intelligence', 'Sales', 'PQRST', 'Active listening', 'Creativity', 'Market research']"
Technical Writer,"['Writing', 'Audience analysis', 'Communication', 'PQRST', 'Good tech writing practices', 'Teamwork', 'Critical thinking', 'Collaboration', 'Editing']"
SAP Developer,"['Analytics', 'Continuous learning', 'Problem solving', 'Workflow', 'Communication', 'Software development', 'ABAP', 'Unit testing', 'SQL']"
IT Security Consultant,"['Adaptability', 'Operating systems', 'Incident response', 'Penetration testing', 'Risk management', 'Intrusion detection', 'SIEM management', 'Collaboration', 'Network security']"
ERP Consultant,"['Analytical skills', 'Project management', 'Problem solving', 'Measure and optimize', 'Technical skills', 'Communication', 'ERP components', 'Analysis', 'Collaboration']"
